NAME,PRICE,VALUE,LAT,LNG
Raising Cane's Chicken Fingers,$,3,38.0001754,-84.5214565
Rally's,$,3,38.0357491,-84.5195596
Rally's,$,3,38.0647956,-84.4689542
Rally's Hamburgers,$,3,38.0036109,-84.4477778
Richie's Fast Food ,$,3,38.06799,-84.5040497
Sawyer's Downtown,$,3,38.0486593,-84.4991601
Shanghai Bistro ,$,3,37.9717982,-84.4982626
Sonic Drive-In,$,3,38.0104603,-84.4548702
Sonic Drive-In,$,3,38.0378179,-84.5161684
Steak 'n Shake ,$,3,38.0182314,-84.4191877
Steak 'n Shake ,$,3,38.0415235,-84.5038345
Subway ,$,3,38.0043967,-84.4465453
Subway ,$,3,38.070049,-84.4804245
Subway ,$,3,38.0348104,-84.495608
Taco Bell,$,3,38.0692329,-84.5302288
Taco Bell,$,3,38.0198507,-84.4148474
Taco Bell,$,3,38.0469565,-84.553628
Taco Bell,$,3,38.0322706,-84.5026828
Waffle House,$,3,38.0186743,-84.4151767
Waffle House,$,3,38.0782556,-84.4525748
Wendy's,$,3,38.0381748,-84.5517701
Wendy's,$,3,38.0720477,-84.4832454
Wendy's,$,3,37.9996775,-84.5215478
Wendy's,$,3,38.0420969,-84.4262467
Wendy's,$,3,38.068957,-84.5298531
